district,crime_type,defendant_race,n_cases,mean_sentence,median_sentence
9,Assault,Hispanic,1,180.0,180.0
9,Assault,Unknown,2,110.5,110.5
9,Assault,White,27,135.13777777777776,120.0
9,Bribery/Corruption,Black,10,24.3,18.0
9,Bribery/Corruption,Hispanic,5,22.206,11.03
9,Bribery/Corruption,Unknown,5,19.0,18.0
9,Bribery/Corruption,White,9,36.86888888888889,33.0
9,Burglary/Trespass,Black,12,98.62,57.5
9,Burglary/Trespass,Hispanic,2,37.5,37.5
9,Burglary/Trespass,Unknown,1,90.0,90.0
9,Burglary/Trespass,White,17,79.47058823529412,63.0
9,Drug Trafficking,Black,1,60.0,60.0
9,Drug Trafficking,White,5,96.20599999999999,60.0
9,Embezzlement,Black,539,89.6191280148423,70.0
9,Embezzlement,Hispanic,245,71.31644897959183,52.0
9,Embezzlement,Unknown,110,57.74736363636364,37.0
9,Embezzlement,White,663,41.53660633484163,30.0
9,Environmental,Black,1,60.0,60.0
9,Environmental,Hispanic,2,23.0,23.0
9,Environmental,White,2,12.1,12.1
